id,level,enabled,text,answer,choices,hint
easy-1,easy,true,1.5 + 2.3,3.8,3.8|3.2|4.8|2.8,บวกจำนวนเต็มและทศนิยมตามหลักตำแหน่ง
easy-2,easy,true,5.7 - 2.4,3.3,3.3|3.1|4.3|2.3,ลบเลขในหลักเดียวกัน
easy-3,easy,true,2.5 × 4,10,10|8|6.5|12.5,คูณ 2.5 ทีละ 4 ครั้ง
medium-1,medium,true,8.4 ÷ 4,2.1,2.1|2.4|3.1|4.4,แบ่ง 8.4 ออกเป็น 4 ส่วนเท่า ๆ กัน
medium-2,medium,true,12.5 × 4,50,50|40|48|52,คูณ 12.5 ด้วย 4
medium-3,medium,true,25.5 + 18.75 - 12.25,32,32|31|42|56.5,บวกก่อนแล้วจึงลบ
hard-1,hard,true,(7.25 × 4) + (4.5 × 3),42.5,42.5|57.5|39.5|45.5,คำนวณในวงเล็บทั้งสองชุดก่อน
hard-2,hard,true,(18.75 + 13.25) ÷ 8,4,4|2.75|3.25|5,บวกในวงเล็บแล้วหารด้วย 8
hard-3,hard,true,85.5 + 64.25 - (12.5 × 4),99.75,99.75|100.25|149.75|49.75,คูณในวงเล็บก่อนแล้วจึงบวกและลบ
boss-1,boss,true,(6.0 × 3) - 2.5,15.5,15.5|20.5|13|8.5,คูณในวงเล็บก่อนแล้วจึงลบ 2.5
